date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_max,et0_fao_evapotranspiration
2015-01-01,-3.6,-16.5,-10.2,0.0,66,8.9,0.62
2015-01-02,2.9,-7.8,-3.0,0.0,60,8.7,0.72
2015-01-03,6.0,-4.8,0.1,0.0,75,17.2,0.9
2015-01-04,7.6,-2.0,2.1,1.8,72,24.0,0.79
2015-01-05,1.1,-3.6,-1.1,0.0,71,18.2,0.85
2015-01-06,-0.3,-7.2,-4.1,0.0,70,15.0,0.74
2015-01-07,-3.7,-7.1,-4.7,0.0,61,14.7,0.77
2015-01-08,-1.5,-6.4,-4.3,0.0,52,4.7,0.73
2015-01-09,5.2,-5.7,-1.0,0.0,65,10.2,0.79
2015-01-10,9.1,-2.6,3.9,2.8,80,15.9,0.72
2015-01-11,14.9,0.7,6.0,0.0,84,9.4,1.1
2015-01-12,4.3,-1.8,2.0,1.0,74,20.1,0.88
2015-01-13,8.4,-3.4,1.4,0.0,70,8.3,0.99
2015-01-14,10.6,-2.2,2.5,0.0,67,5.8,1.06
2015-01-15,8.8,-2.1,1.8,0.0,62,18.0,1.32
2015-01-16,7.8,-2.9,1.4,0.0,69,6.9,1.04
2015-01-17,8.2,-2.1,1.6,0.0,74,6.0,1.01
2015-01-18,10.4,-1.5,2.9,0.0,78,7.1,0.94
2015-01-19,10.2,0.0,3.9,0.2,91,5.1,0.86
2015-01-20,10.6,0.3,4.5,0.4,91,4.7,0.84
2015-01-21,9.9,3.2,6.3,0.0,92,6.3,0.69
2015-01-22,9.6,4.3,6.5,0.0,94,8.4,0.65
2015-01-23,12.1,5.0,8.6,3.0,91,18.3,0.88
2015-01-24,8.6,4.7,7.4,12.9,97,13.4,0.37
2015-01-25,6.0,4.0,5.2,4.5,93,7.6,0.31
2015-01-26,7.0,2.1,4.1,0.0,81,7.6,0.68
2015-01-27,4.3,2.7,3.3,3.4,91,9.7,0.38
2015-01-28,7.3,0.1,3.5,0.0,81,6.6,0.87
2015-01-29,6.2,0.0,2.5,0.0,86,6.1,0.77
2015-01-30,8.4,1.3,4.1,0.0,90,13.8,0.75
2015-01-31,11.5,2.4,6.8,7.3,78,11.9,1.32
2015-02-01,9.4,2.5,5.0,21.7,93,8.4,0.85
2015-02-02,10.7,1.1,5.1,0.0,77,7.9,1.32
2015-02-03,7.1,-0.1,2.9,0.1,68,12.6,1.25
2015-02-04,5.9,-1.1,2.0,0.0,75,8.6,0.76
2015-02-05,11.0,-0.7,4.2,0.0,84,9.3,1.19
2015-02-06,8.3,2.9,6.1,14.2,97,20.5,0.32
2015-02-07,3.6,-1.4,1.7,4.5,84,7.7,0.85
2015-02-08,4.2,-6.7,-0.7,0.0,79,13.6,0.95
2015-02-09,1.6,-5.3,-1.7,0.3,72,10.8,0.8
2015-02-10,-0.8,-10.5,-5.5,0.0,69,16.5,0.86
2015-02-11,-1.1,-7.1,-4.2,0.0,62,14.8,0.96
2015-02-12,2.8,-6.1,-2.3,0.0,67,7.4,1.02
2015-02-13,8.4,-2.8,1.4,0.0,64,8.6,1.52
2015-02-14,8.4,-2.0,2.3,0.0,63,7.2,1.51
2015-02-15,6.9,-0.7,2.5,0.0,77,7.6,1.2
2015-02-16,5.8,0.7,2.6,0.5,85,7.6,0.84
2015-02-17,0.5,-6.4,-1.9,1.6,64,12.8,0.99
2015-02-18,0.6,-7.3,-4.1,0.0,44,17.5,1.47
2015-02-19,7.7,-5.3,0.2,0.0,44,13.3,1.94
2015-02-20,11.1,-0.8,4.0,0.0,53,8.4,1.74
2015-02-21,8.1,-0.9,3.1,0.0,72,7.9,1.59
2015-02-22,7.7,-0.3,3.3,0.3,87,9.4,0.93
2015-02-23,9.6,4.4,6.3,2.6,96,10.0,0.59
2015-02-24,11.3,4.2,7.5,0.6,90,7.1,1.09
2015-02-25,10.2,6.3,7.8,1.9,92,12.0,0.84
2015-02-26,12.2,5.7,8.0,0.0,85,7.1,1.72
2015-02-27,11.3,3.9,7.3,4.3,89,12.4,1.09
2015-02-28,13.1,3.4,7.8,1.6,85,7.2,1.59
2015-03-01,10.4,3.8,6.9,0.0,88,9.2,1.02
2015-03-02,13.8,3.3,8.2,0.0,83,7.6,1.89
2015-03-03,11.9,5.0,8.4,2.3,68,22.2,2.34
2015-03-04,9.7,-1.4,4.2,0.0,55,10.9,2.34
2015-03-05,4.2,1.5,2.7,4.4,73,14.9,0.86
2015-03-06,4.3,0.4,2.7,16.6,89,13.6,0.58
2015-03-07,1.1,-0.2,0.4,34.8,94,8.3,0.4
2015-03-08,3.0,-1.0,0.8,6.1,89,7.2,0.92
2015-03-09,4.0,-2.6,1.0,2.5,87,6.0,1.28
2015-03-10,5.8,-2.1,1.5,0.0,82,6.8,1.31
2015-03-11,7.6,-5.4,1.8,0.0,81,5.6,1.67
2015-03-12,8.0,0.4,4.1,0.4,78,5.2,1.34
2015-03-13,7.2,-0.0,3.9,1.1,83,6.9,1.72
2015-03-14,6.1,-1.5,2.6,5.7,92,6.5,0.8
2015-03-15,9.5,1.1,5.1,0.0,83,6.4,1.1
2015-03-16,10.5,5.1,6.7,0.0,80,6.2,1.43
2015-03-17,11.3,-0.2,5.4,0.2,67,13.4,2.5
2015-03-18,7.2,0.2,3.3,0.7,58,11.5,1.97
2015-03-19,5.1,-0.1,2.2,4.6,69,5.7,1.2
2015-03-20,5.4,-0.4,2.0,2.7,73,14.2,1.62
2015-03-21,11.8,-2.6,4.8,0.0,56,10.9,2.62
2015-03-22,13.9,-1.6,6.2,0.0,59,5.4,2.78
2015-03-23,11.5,2.5,6.7,1.4,82,12.6,1.72
2015-03-24,10.6,2.5,5.6,0.0,86,10.1,1.52
2015-03-25,11.7,2.4,6.7,0.0,81,11.5,1.75
2015-03-26,15.5,1.1,9.1,0.0,82,8.1,2.51
2015-03-27,13.7,8.8,10.7,8.8,93,11.6,1.2
2015-03-28,12.4,8.1,10.6,4.8,90,10.8,1.2
2015-03-29,10.6,5.6,7.7,5.4,81,13.2,1.17
2015-03-30,16.2,2.3,9.3,0.0,73,6.8,2.81
2015-03-31,15.1,7.8,11.0,1.3,64,17.3,3.08
2015-04-01,13.9,3.8,9.0,0.3,63,12.2,2.31
2015-04-02,11.2,3.4,7.4,0.0,52,20.8,3.0
2015-04-03,8.6,1.0,5.5,0.0,49,22.4,2.52
2015-04-04,10.9,-0.3,5.5,0.0,53,12.8,2.95
2015-04-05,10.5,2.4,6.6,0.2,68,9.4,2.02
2015-04-06,10.0,4.1,6.6,10.6,84,15.4,1.6
2015-04-07,7.7,2.8,4.9,3.0,74,11.2,1.58
2015-04-08,9.2,-2.1,4.2,1.1,73,10.5,2.3
2015-04-09,9.7,1.5,5.6,0.6,73,18.7,1.7
2015-04-10,13.9,-0.9,7.5,0.0,57,7.2,3.34
2015-04-11,18.4,-0.6,10.0,0.0,55,6.2,3.8
2015-04-12,20.0,2.9,12.0,0.1,58,6.7,3.72
2015-04-13,20.1,5.2,12.8,2.6,68,7.6,3.41
2015-04-14,17.1,5.8,11.8,0.6,64,18.6,3.22
2015-04-15,17.0,4.7,11.1,0.0,59,9.4,3.61
2015-04-16,21.9,4.8,14.1,0.0,63,5.8,4.02
2015-04-17,23.2,8.0,16.6,0.0,62,7.5,4.17
2015-04-18,20.6,9.0,14.5,4.4,69,12.3,3.46
2015-04-19,12.4,5.0,9.5,0.0,64,12.5,2.05
2015-04-20,15.3,1.4,8.7,0.0,61,18.3,3.73
2015-04-21,12.6,5.8,9.1,3.1,59,14.4,3.19
2015-04-22,13.1,3.2,8.5,4.0,68,13.0,2.97
2015-04-23,16.6,2.2,9.4,0.0,63,8.7,3.67
2015-04-24,19.1,4.1,12.3,0.0,66,8.6,3.57
2015-04-25,18.6,6.7,12.5,6.7,78,6.8,2.94
2015-04-26,20.2,5.0,13.6,0.4,71,7.9,4.05
